"","  Aulu-Gelle ","  Quinte-Curce "," Paul (saint) ","Aelius Spartianus","Alexandre Sévère","Ambroise (saint)","Anastase I","Arcadius","Aristophane","Aristote","Artemidore d'Éphèse","Augustin (saint)","Basile de Césarée (saint)","Caius Velleius Paterculus","Cassiodore","Caton","Catulle","Celse","Cicéron","Clément d'Alexandrie","Clément I","Denis d'Halicarnasse","Denis le Petit","Dioclétien","Diodore de Sicile","Flavius Vopiscus","Gélase Ier","Germain (saint)","Grégoire Ier","Grégoire III","Héliodore de Larisse","Hermogénien","Hérodote","Hippocrate","Homère","Honorius","Horace","Innocent I","Jules César","Julius Firmicus Maternus","Justinien Ier","Labéon","Lampride","Léon Ier","Lucius Neratius Priscus ","Lycurgue","Marcellin Ammien","Marculphe","Martial","Maurus Honoratus Servius","Maximien","none","Papinien","Paulus","Pausanias","Philon d'Alexandrie","Platon","Plaute","Pline le Jeune","Plutarque","Pompée","Quintilien","Quintus Ennius","Salluste","Salvien","Scipion l'Africain","Sénèque","Sextus Pomponius","Siculus Flaccus ","Sidoine Apollinaire","Solon","Suétone","Tacite","Térence","Tertullien","Thucydide","Tiberius Catius Silius Italicus","Tite-Live ","Ulpien","Venance Fortunat","Virgile","Xénophon","Zénon"
"019___'Des Officiers en general. Chap. III.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"019___'QUELLES CHOSES SONT CENSÉES MEUBLES, QUELLES CHOSES IMMEUBLES.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"019___'Seconde Partie, du Droit de Viduité.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"020___'De la Iurisdiction, et office des Iuges ordinaires. Chap. IIII.'",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"020___'DE PRESCRIPTIONS.'",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"020___'QVELLES CHOSES SONT CENSEES MEVBLES, QVELLES CHOSES immeubles.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"021___'DE BREF DE MARIAGE ENCOMBRÉ.'",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"021___'DE PRESCRIPTIONS.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"022___'DE BRIEF DE MARIAGE ENCOMBRÉ.'",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"022___'TITRE DES EXECUTIONS. PAR DECRET'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"023___'DE VARECH.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"023___'DES EXECVTIONS PAR DECRET.'",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
