ID,Auteur,Naissance (min),Naissance (max),Mort (min),Mort (max),Témoin,size
lycurgue,Lycurgue (0390?-0324? av. J.-C.),-0390,-0390,-0324,-0324,basnage,1
marculphe,Marcoul (0490?-0558 ; saint),0490,0490,0558,0558,basnage,22
marculphe,Marcoul (0490?-0558 ; saint),0490,0490,0558,0558,pesnelle,13
martial,Martial (0040?-0104?),0040,0040,0104,0104,basnage,2
martial,Martial (0040?-0104?),0040,0040,0104,0104,terrien,1
maximien,maximien,0250,0250,0310,0310,basnage,1
maximien,maximien,0250,0250,0310,0310,terrien,1
modestin,"Modestinus, Herennius",0200,0299,0200,0299,basnage,8
neratius,neratius,0001,0099,0100,0199,basnage,3
neratius,neratius,0001,0099,0100,0199,terrien,1
papinien,papinien,0142,0142,0212,0212,basnage,54
papinien,papinien,0142,0142,0212,0212,berault,4
papinien,papinien,0142,0142,0212,0212,pesnelle,1
paulus,"Paulus, Julius (01..-02..)",0100,0199,0200,0299,basnage,18
paulus,"Paulus, Julius (01..-02..)",0100,0199,0200,0299,pesnelle,1
paulus,"Paulus, Julius (01..-02..)",0100,0199,0200,0299,terrien,10
pausanias,Pausanias (01..-01..),0100,0199,0100,0199,basnage,1
pausanias,Pausanias (01..-01..),0100,0199,0100,0199,terrien,1
pelage,Pélage I (0500?-0561 ; pape),0500,0599,0600,0699,basnage,1
philon,Philon d'Alexandrie (0030? av. J.-C.-0040?),-0030,-0030,0070,0070,basnage,3
platon,Platon (0427?-0348? av. J.-C.),-0427,-0427,-0348,-0348,basnage,10
platon,Platon (0427?-0348? av. J.-C.),-0427,-0427,-0348,-0348,berault,9
platon,Platon (0427?-0348? av. J.-C.),-0427,-0427,-0348,-0348,terrien,3
plaute,Plaute (0254-0184 av. J.-C.),-0254,-0254,-0184,-0184,basnage,6
plaute,Plaute (0254-0184 av. J.-C.),-0254,-0254,-0184,-0184,berault,2
plaute,Plaute (0254-0184 av. J.-C.),-0254,-0254,-0184,-0184,terrien,1
pline,Pline le Jeune (0061?-0114?),0061,0061,0114,0114,basnage,6
pline,Pline le Jeune (0061?-0114?),0061,0061,0114,0114,berault,6
pline,Pline le Jeune (0061?-0114?),0061,0061,0114,0114,terrien,13
plutarque,Plutarque (0046?-0120?),0046,0046,0120,0120,basnage,3
plutarque,Plutarque (0046?-0120?),0046,0046,0120,0120,berault,15
plutarque,Plutarque (0046?-0120?),0046,0046,0120,0120,pesnelle,1
plutarque,Plutarque (0046?-0120?),0046,0046,0120,0120,terrien,8
pompeius,Pompée (0075-0035 av. J.-C.),-0075,-0075,-0035,-0035,basnage,1
pomponius,pomponius,0100,0199,0100,0199,terrien,1
quintilien,Quintilien (0030?-0100?),0030,0030,0100,0100,basnage,3
quintilien,Quintilien (0030?-0100?),0030,0030,0100,0100,berault,1
quintilien,Quintilien (0030?-0100?),0030,0030,0100,0100,terrien,1
s-germain,s-germain,0490,0499,0590,0599,basnage,2
s-paul,s-paul,0001,0099,0001,0099,basnage,6
s-paul,s-paul,0001,0099,0001,0099,berault,3
s-paul,s-paul,0001,0099,0001,0099,pesnelle,1
s-paul,s-paul,0001,0099,0001,0099,terrien,5
saluste,Salluste (0086-0035 av. J.-C.),-0086,-0086,-0035,-0035,basnage,3
saluste,Salluste (0086-0035 av. J.-C.),-0086,-0086,-0035,-0035,berault,1
salvian,Salvien (0390?-0484?),0390,0390,0484,0484,basnage,3
scipion,Scipion l'Africain (0235-0183 av. J.-C.),-0235,-0235,-0183,-0183,basnage,4
seneca,Sénèque (0004 av. J.-C.-0065),-0004,-0004,0065,0065,basnage,7
seneca,Sénèque (0004 av. J.-C.-0065),-0004,-0004,0065,0065,berault,2
seneca,Sénèque (0004 av. J.-C.-0065),-0004,-0004,0065,0065,merville,2
seneca,Sénèque (0004 av. J.-C.-0065),-0004,-0004,0065,0065,pesnelle,1
seneca,Sénèque (0004 av. J.-C.-0065),-0004,-0004,0065,0065,terrien,1
servius,"Servius, Maurus Honoratus (0363?-03..)",0363,0363,0463,0463,basnage,2
servius,"Servius, Maurus Honoratus (0363?-03..)",0363,0363,0463,0463,berault,1
servius,"Servius, Maurus Honoratus (0363?-03..)",0363,0363,0463,0463,terrien,1
severe,Sévère Alexandre (0208-0235),0208,0208,0235,0235,berault,3
severe,Sévère Alexandre (0208-0235),0208,0208,0235,0235,terrien,2
siculus,Siculus Flaccus (01..-.... ; agriculteur),0100,0199,0100,0199,basnage,2
silius,"Silius Italicus, Tiberius Catius (0025?-0101)",0025,0025,0101,0101,basnage,1
solon,Solon (0640?-0561 av. J.-C.),-0640,-0640,-0561,-0561,basnage,7
solon,Solon (0640?-0561 av. J.-C.),-0640,-0640,-0561,-0561,berault,9
solon,Solon (0640?-0561 av. J.-C.),-0640,-0640,-0561,-0561,terrien,1
